,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,     90,     37,    127,     51,     18,      5,     41,      7,     21,    111
192608,     90,     37,    127,     51,     18,      5,     41,      7,     21,    111
192609,     90,     37,    127,     50,     18,      5,     41,      7,     21,    111
192610,     90,     37,    127,     50,     18,      5,     41,      7,     21,    111
192611,     90,     37,    127,     50,     18,      5,     41,      7,     21,    111
192612,     89,     37,    127,     50,     18,      5,     41,      7,     21,    110
192701,     89,     37,    127,     49,     18,      5,     41,      7,     21,    110
192702,     87,     37,    127,     49,     18,      5,     41,      7,     21,    109
192703,     87,     37,    127,     49,     18,      5,     41,      7,     21,    109
192704,     87,     37,    127,     49,     18,      4,     41,      7,     21,    108
192705,     87,     37,    127,     49,     18,      4,     41,      7,     21,    108
192706,     87,     37,    126,     49,     18,      4,     41,      7,     21,    108
192707,     98,     43,    129,     55,     19,      5,     46,      7,     23,    120
192708,     98,     43,    128,     55,     19,      5,     46,      7,     23,    120
192709,     98,     43,    128,     55,     19,      5,     46,      7,     23,    120
192710,     98,     43,    128,     55,     19,      5,     46,      7,     23,    120
192711,     97,     43,    126,     55,     18,      5,     46,      7,     23,    120
192712,     97,     43,    126,     55,     18,      5,     46,      7,     23,    120
192801,     96,     43,    126,     55,     18,      5,     46,      7,     23,    120
192802,     96,     43,    126,     55,     18,      5,     46,      7,     23,    120
192803,     96,     43,    125,     55,     18,      5,     46,      6,     22,    120
192804,     96,     43,    125,     55,     18,      5,     46,      6,     22,    120
192805,     96,     43,    125,     55,     18,      4,     46,      6,     22,    120
192806,     96,     43,    125,     55,     18,      4,     45,      6,     22,    120
192807,    105,     45,    139,     56,     19,      4,     51,      6,     23,    120
192808,    105,     44,    139,     56,     19,      4,     51,      6,     23,    120
192809,    105,     44,    139,     56,     19,      4,     51,      6,     23,    120
192810,    105,     44,    139,     56,     19,      4,     51,      6,     23,    119
192811,    105,     44,    139,     56,     19,      4,     51,      6,     23,    119
192812,    104,     44,    139,     56,     19,      4,     51,      6,     23,    119
192901,    103,     43,    139,     56,     19,      4,     51,      5,     23,    118
192902,    103,     43,    139,     56,     19,      4,     51,      5,     23,    118
192903,    103,     43,    139,     56,     18,      4,     51,      5,     23,    118
192904,    103,     43,    139,     56,     18,      4,     51,      5,     23,    118
192905,    102,     43,    139,     56,     18,      4,     51,      5,     22,    118
192906,    101,     43,    139,     56,     18,      4,     51,      5,     22,    117
