,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,     31.58,     53.05,     38.49,     84.59,     89.75,    350.36,     39.19,     25.52,     81.22,     52.19
192608,     32.00,     61.05,     40.17,     83.49,     92.30,    353.27,     39.13,     25.80,     86.81,     53.17
192609,     33.18,     62.94,     41.16,     86.27,     94.49,    360.96,     38.76,     26.73,     85.01,     55.30
192610,     33.32,     65.75,     41.39,     82.94,     93.38,    364.16,     38.77,     26.87,     86.41,     55.21
192611,     32.83,     60.18,     39.77,     82.19,     89.05,    363.74,     37.79,     26.54,     83.92,     53.49
192612,     34.77,     58.76,     41.25,     81.69,     93.02,    369.65,     40.02,     27.81,     86.70,     54.76
192701,     34.78,     64.38,     42.37,     85.19,     92.25,    371.52,     40.19,     27.62,     86.12,     56.14
192702,     35.20,     63.63,     42.21,     86.11,     91.14,    378.52,     39.06,     28.85,     84.41,     57.33
192703,     36.26,     68.73,     44.53,     86.96,     94.97,    393.55,     40.28,     29.16,     87.90,     60.01
192704,     36.94,     69.66,     44.88,     81.29,     95.58,    500.46,     40.05,     29.40,     87.84,     60.97
192705,     38.12,     71.70,     45.09,     76.90,    100.74,    489.80,     41.58,     30.03,     89.13,     61.41
192706,     41.12,     74.97,     47.65,     80.21,    107.82,    506.18,     42.51,     31.08,     97.00,     65.08
192707,     39.03,     67.29,     45.74,     85.18,     93.43,    421.56,     39.24,     33.05,    100.48,     60.01
192708,     40.84,     75.92,     51.52,     87.49,    104.79,    437.31,     43.00,     36.12,    105.48,     63.43
192709,     41.87,     80.69,     52.80,     86.93,    110.48,    439.17,     45.98,     36.02,    108.73,     62.54
192710,     43.79,     85.09,     55.06,     89.49,    111.14,    462.04,     49.36,     37.99,    117.36,     65.07
192711,     41.60,     81.24,     52.06,     87.42,    108.19,    452.37,     46.81,     39.62,    111.96,     62.49
192712,     44.33,     84.82,     57.39,     90.69,    119.56,    465.15,     52.09,     40.86,    118.67,     65.08
192801,     45.32,     91.22,     58.87,     90.60,    120.27,    465.55,     51.66,     40.55,    120.98,     65.91
192802,     45.51,     88.04,     58.40,     88.78,    119.76,    466.92,     51.10,     41.46,    127.73,     65.09
192803,     43.48,     88.53,     57.43,     88.11,    118.90,    465.52,     50.33,     34.35,    131.36,     63.56
