ret_eq_sanscont;ret_mcap_sanscont;ret_eq_aveccont;ret_mcap_aveccont
0,018904337;0,018496486;0,020540034;0,019175987
0,018242634;0,017479706;0,022017438;0,020581974
0,006143873;0,008951968;0,025636461;0,028046249
0,015652678;0,018651504;0,025880292;0,030551956
0,037235126;0,04149462;0,046442216;0,053519763
-0,061886441;-0,062245776;-0,064553257;-0,066724707
-0,012446935;-0,007073854;-0,043467192;-0,029079774
0,049003475;0,050471633;0,055482395;0,059101688
0,045963265;0,041756729;0,043693475;0,041146427
-0,000133847;0,000959375;0,007096667;0,00982423
0,027646822;0,033647058;0,030572997;0,038444228
0,06269513;0,069595272;0,032150618;0,037770459
0,059056778;0,06120913;0,051324574;0,054768097
0,0167226;0,013437815;0,009902918;0,007279279
-0,015344532;-0,020399205;-0,012407437;-0,018103376
0,067799795;0,075061281;0,061030303;0,069384008
-0,027383722;-0,031929066;-0,022166793;-0,025977939
-0,018440634;-0,019628464;-0,017009701;-0,019589238
0,08508172;0,089692845;0,065173286;0,070222972
0,041569787;0,047606663;0,034688433;0,041037321
0,003612139;0,002948877;0,009298427;0,006768865
-0,004770761;-0,002504123;-0,002358219;0,001198779
0,00666007;0,004970977;0,009998182;0,008400055
0,030290826;0,032522848;0,030377491;0,034409454
0,023463153;0,027636516;0,012323048;0,01637691
-0,011469615;-0,014837386;-0,01174058;-0,014135799
0,060161058;0,070079655;0,051871828;0,058163794
-0,039616806;-0,048710427;-0,035651707;-0,044078052
0,032512093;0,03577527;0,031284665;0,035348629
0,0391146;0,04351285;0,025403744;0,031187188
0,008733247;0,009183073;0,014946004;0,018207934
0,002725835;0,001329942;-0,002391345;-0,007228639
-0,016293649;-0,018067769;0,00044073;-0,0020089
0,006863894;0,007001461;0,006546056;0,006485918
0,047306779;0,047306591;0,040576925;0,041865316
0,029388539;0,035036882;0,035827447;0,041643838
0,001667464;-0,002881386;-0,005329447;-0,003648778
-0,001147753;-0,001211969;-0,016779923;-0,019678731
-0,010680337;-0,012879413;-0,011122799;-0,012434726
-0,031235744;-0,032867672;-0,041636551;-0,044779841
0,002451999;0,004221532;0,003576177;0,004228815
-0,024934605;-0,023229346;-0,028152647;-0,028150205
0,021689206;0,02347837;0,015168793;0,017300222
-0,021996884;-0,030132583;-0,023652785;-0,030221257
0,007518459;0,003168115;0,005784606;0,005041982
0,045395706;0,050130218;0,055071458;0,061552933
0,023347816;0,022109158;0,039536507;0,039428136
0,003245106;0,002632677;0,009212204;0,01093149
0,043918103;0,048794393;0,037917932;0,041513998
0,019577069;0,019856881;0,02775115;0,029246081
0,029562368;0,032590933;0,03575041;0,041852913
0,025374071;0,03072236;0,042557288;0,049923554
0,022774442;0,023232444;0,027919331;0,03212611
0,002321939;0,002907084;0,016218734;0,016502104
0,043217915;0,042212815;0,032669116;0,032429299
-0,017052145;-0,017828313;-0,01087491;-0,012015151
0,043857491;0,052854881;0,060903646;0,067894057
-0,018526105;-0,019633399;-0,015238502;-0,015758572
0,058358049;0,064706476;0,079319234;0,087765851
0,032397837;0,036297211;0,042086571;0,047084399
0,01174597;0,013233315;0,018361906;0,019188037
0,034906109;0,033280731;0,040520933;0,044701597
-0,004299611;-0,004937299;-0,004067382;-0,006677801
0,022421477;0,024680666;0,017417148;0,020218975
0,004968398;0,002454731;0,020640673;0,022177853
0,034177879;0,040381268;0,054879812;0,071884549
0,021153577;0,015459947;0,032034162;0,027917321
-0,008757707;-0,005444678;-0,006144077;-0,001109426
-0,019968447;-0,019043781;0,012476939;0,013065056
-0,018548677;-0,022508992;-0,031181137;-0,035261901
0,045949169;0,059254438;0,059460888;0,068621481
0,005820824;0,009307084;-0,000872393;0,001846348
-0,007847426;-0,018003604;-0,008602217;-0,009586905
0,023978112;0,033382025;0,032688023;0,036108446
0,049045192;0,064224437;0,064037034;0,078022215
-0,009965452;-0,007236316;-0,020549332;-0,016977627
-0,022630477;-0,030934595;-0,031329572;-0,041302221
0,028623808;0,035673348;0,040523381;0,046245683
0,046787578;0,052129219;0,058142921;0,07192291
-0,023967817;-0,028138832;-0,030257446;-0,035214748
-0,03888797;-0,043803958;-0,044678588;-0,052535003
0,005666385;0,010327735;-0,002324286;-0,001963698
8,86E-05;0,001591477;0,007044936;0,010391883
0,024333809;0,026461096;0,037849501;0,044262339
0,004588782;-0,010812438;-0,018334479;-0,029577648
-0,003164823;-0,007356525;-0,006305659;-0,011286577
0,02216215;0,024712668;0,019890908;0,018401625
0,036264367;0,04483289;0,041673073;0,047606213
0,025893847;0,03270656;0,029604752;0,035942564
-0,00893582;-0,00429164;-0,01215945;-0,015694036
0,00542658;0,007941173;0,001622;4,03E-05
-0,023994807;-0,033886829;-0,025638117;-0,035658463
-0,037101498;-0,047281076;-0,050647;-0,063999783
-0,018897085;-0,023922781;-0,011616285;-0,019474918
0,03944595;0,036189259;0,04694434;0,047706461
-0,006578534;-0,020710787;-0,006924436;-0,017710937
0,033074998;0,033141098;0,019907855;0,020355114
0,012546654;0,002866386;0,016750102;0,00647349
0,031645875;0,037285899;0,04579729;0,045787097
0,037100544;0,036723864;0,041812425;0,039706612
0,01794315;0,016084743;0,022022159;0,023275756
0,025134263;0,029377866;0,031610782;0,034507687
0,034057973;0,035516334;0,031997387;0,03911766
0,014295945;0,012404352;0,023453134;0,023277222
0,073206593;0,06952304;0,090282881;0,08755979
0,02004839;0,023104508;0,020677221;0,024163503
0,043047085;0,041345387;0,048277985;0,045457039
0,090602594;0,076662837;0,118907686;0,11629699
0,009144665;0,004456265;0,014153558;0,013012342
0,033693038;0,024664464;0,036063741;0,031873475
0,014051839;0,013236566;0,015799713;0,01484804
0,066561145;0,062260867;0,070754388;0,067797113
0,004263343;0,010319439;0,009294317;0,014366116
0,021762981;0,015946954;0,019442244;0,014551664
0,035815845;0,036736938;0,047684335;0,050678052
-0,008150747;-0,011179763;-0,005919409;-0,009009211
-0,035794354;-0,040554917;-0,040566594;-0,047091468
0,019266419;0,017895999;0,026989271;0,027104888
0,024085066;0,028359595;0,031331039;0,031332192
0,014137771;0,017759596;0,018092023;0,022266375
-0,04429689;-0,058436292;-0,055746997;-0,0667503
0,030968187;0,025047064;0,039819138;0,036227368
-0,000368469;-0,004587421;-0,001822618;-0,007525031
0,004959207;0,000221603;0,00554371;-0,002509729
0,067547578;0,060734941;0,079578526;0,075503312
0,017634684;0,018959966;0,025269009;0,026374752
-0,019926438;-0,021905347;-0,019005619;-0,022963873
0,040849995;0,036995883;0,047768981;0,046430661
-0,060358116;-0,059660028;-0,057755631;-0,060113299
-0,005796747;-0,006310767;0,000110868;0,000232504
0,060335248;0,059784345;0,064994584;0,065673247
0,063657293;0,058539277;0,063919415;0,065619712
0,05799963;0,057831889;0,063675887;0,067095519
0,047509777;0,042893976;0,046303963;0,045644581
0,044284401;0,041492209;0,050216704;0,046099671
-0,003971358;-0,001368512;-0,001259682;-0,001175883
0,022946452;0,023023548;0,017518477;0,019732668
-0,023203918;-0,023587266;-0,020327625;-0,023135423
0,035192326;0,034390335;0,044368558;0,043563173
0,039165735;0,038673238;0,043677076;0,041746443
-0,00315108;-0,00183958;0,018698419;0,010152312
0,032697676;0,032069698;0,048457319;0,044016415
0,051373136;0,052130156;0,068324153;0,066561104
-0,021271629;-0,019107342;-0,01820636;-0,016040183
-0,057305412;-0,053948966;-0,061187142;-0,059650998
0,01756661;0,014853448;0,011085252;0,011976925
-0,006067461;-0,006121532;-0,007347617;-0,007728435
-0,065100185;-0,062889741;-0,060519261;-0,061842985
-0,101407007;-0,095546701;-0,098863269;-0,098664624
-0,092980324;-0,087817629;-0,084113317;-0,082583723
0,065075628;0,067335577;0,072089284;0,071633825
0,010147519;0,013790351;0,008082217;0,013786267
-0,046365898;-0,045145239;-0,045426089;-0,045511072
-0,004303342;-0,002533638;-0,007370702;-0,006321988
0,087824053;0,086429112;0,090390569;0,088054793
0,022369084;0,02239018;0,027479769;0,026677652
0,053519847;0,053438768;0,050665739;0,050450044
-0,020051202;-0,020191043;-0,018396658;-0,019203767
0,031621093;0,032341032;0,034331027;0,036301951
0,037950324;0,037559145;0,048787537;0,046913802
0,026183894;0,027063839;0,032711948;0,031289632
-0,018137051;-0,01824919;-0,014373969;-0,014760787
-7,97E-05;3,01E-05;0,001888958;0,001989468
0,051534362;0,050720535;0,053594119;0,0510399
-0,008387183;-0,008029329;-0,013690723;-0,013748943
0,030761565;0,033036046;0,041666696;0,038839957
-0,00680324;-0,008155962;-0,016666829;-0,015427227
0,009666586;0,009926819;0,013044013;0,014197403
0,018029131;0,018968234;0,019790065;0,020900351
0,010102433;0,009804781;0,010535721;0,010482523
0,002484693;0,001326133;-0,002113732;0,000735415
0,013195559;0,014734922;0,022815965;0,0232596
0,012583729;0,010596175;0,018602658;0,018108523
0,025453819;0,023324143;0,023151428;0,02164853
0,025915552;0,028061689;0,019505528;0,019798026
-0,002843097;-0,004317382;-0,01357307;-0,011910435
0,02238586;0,020822982;0,013038915;0,016046202
0,011782912;0,012484367;0,014929096;0,014148689
0,011074257;0,01052463;0,009493623;0,007982686
0,00753699;0,006418169;0,011827354;0,008387709
0,02617278;0,0251042;0,027153459;0,02337631
-0,003214157;-0,008379986;-0,004792657;-0,007613155
-0,007286842;-0,00807842;-0,004787584;-0,005984715
0,041329933;0,039069175;0,04032949;0,038217995
-0,010178247;-0,010162942;-0,013717699;-0,0136583
-0,049005367;-0,046538306;-0,057328104;-0,055755878
0,011603576;0,012968676;0,012205503;0,011584576
0,024399307;0,02331834;0,02770534;0,024160143
0,03599184;0,040403786;0,02721588;0,030908919
0,030865849;0,031966527;0,028129458;0,029683887
-0,004240302;-0,006989885;-0,000127821;-0,002646794
0,012530675;0,011259475;0,015308791;0,016100545
0,003443559;0,005075466;0,001331735;0,00386507
-0,013489054;-0,014901374;-0,00737929;-0,009689769
-0,026958752;-0,027221327;-0,022622389;-0,021858135
0,019575108;0,018731463;0,03269299;0,033754312
-0,064667098;-0,066360729;-0,059467953;-0,060352352
-0,016335727;-0,016200859;-0,007394458;-0,008773283
-0,013359655;-0,012724459;-0,017122574;-0,016062859
-0,078832862;-0,079322327;-0,072847002;-0,072835455
0,008787477;0,010874341;-0,000755023;-0,001899287
0,0471081;0,048516343;0,004538605;0,005001993
0,013618788;0,008029415;0,034132689;0,029631756
-0,003805252;-0,005071616;-0,006279805;-0,003601516
0,068753412;0,064878549;0,064314287;0,06324965
0,011615454;0,010668241;0,005384029;0,003086008
0,043176092;0,042993766;0,040270745;0,040976351
0,042824867;0,041865748;0,045748664;0,041639597
-0,03511951;-0,034025922;-0,038119217;-0,035973465
0,04061715;0,040970794;0,036196257;0,033746004
0,054793503;0,055377931;0,06005351;0,062207539
-0,011660216;-0,012192537;-0,005179154;-0,00611654
0,055499267;0,055499266;0,046510582;0,048754652
0,008275224;0,010699573;0,003785987;0,003430126
0,010722217;0,010148598;0,004142707;0,003875982
0,025231897;0,025587671;0,023113364;0,026248081
-0,0476968;-0,048372733;-0,054197254;-0,061253535
-0,032552101;-0,033903552;-0,027281077;-0,029827645
0,023872006;0,024147139;0,024597973;0,025853324
0,098897793;0,097952179;0,100641802;0,101067897
0,029235968;0,029651317;0,036726007;0,036999498
0,000876905;-0,000104007;-0,003185386;-0,007937003
-0,016975947;-0,01675653;-0,019759112;-0,019530565
0,012470005;0,011690765;0,012222294;0,014364116
0,043913333;0,040832934;0,042568699;0,043002119
-0,005836191;-0,008218009;-0,004943371;-0,005694344
0,06785681;0,068445604;0,060524735;0,060478182
-0,036155046;-0,036101745;-0,017521346;-0,017912286
-0,0184017;-0,019140417;-0,01515458;-0,016478665
-0,06092764;-0,061268045;-0,053500916;-0,054874957
0,054172463;0,054360207;0,043940525;0,046552171
0,018076799;0,017205058;0,016576003;0,011645231
0,009467009;0,008714453;0,014593973;0,013554333
-0,054243337;-0,053467888;-0,063447184;-0,066328718
-0,058050683;-0,058991438;-0,061599083;-0,063987576
0,079765886;0,079002091;0,084461085;0,084444688
-0,012137618;-0,013424335;-0,005469785;-0,010039397
0,062727534;0,061346346;0,05215431;0,048805578
-0,016045335;-0,017719518;-0,016264856;-0,019150246
0,006281791;0,004104988;0,000161134;-0,000141802
-0,075164383;-0,078303645;-0,065472158;-0,070319443
0,047352459;0,048295712;0,046317461;0,043338585
-0,029037762;-0,029243782;-0,028907958;-0,03011575
-0,112236056;-0,115562239;-0,107812925;-0,108387273
-0,069260009;-0,07070451;-0,057600004;-0,058027901
-0,035103575;-0,041069724;-0,034109721;-0,036633384
0,052675666;0,0527167;0,052490781;0,049586393
0,037329211;0,039064908;0,036173404;0,038520822
0,072756697;0,0725214;0,072899624;0,07210635
-0,006275497;-0,008258331;-0,008516707;-0,009863415
0,045263282;0,044220028;0,041053512;0,038364857
0,047840667;0,047136536;0,040443339;0,041294145
0,052597379;0,050781243;0,043684466;0,041275317
0,025796193;0,029129122;0,026838839;0,029839027
0,049971437;0,049161484;0,04936598;0,050599344
0,045087977;0,044791626;0,023463283;0,026621804
-0,024600995;-0,024834655;-0,032410275;-0,032174867
0,010790277;0,010723398;0,009449354;0,007468963
-0,027902775;-0,027996225;-0,019960333;-0,023011744
0,038958264;0,039161657;0,024462872;0,029263845
0,003244393;0,003009715;0,003237231;0,002338283
-0,03213192;-0,033244978;-0,023981232;-0,029785556
0,002960398;0,002864513;0,003420895;0,002222164
0,093352706;0,093804981;0,080033917;0,082629622
0,008643809;0,008831216;-0,001420237;0,001093127
0,055533083;0,056499012;0,048083911;0,0511369
0,009103588;0,008069266;0,006154632;0,007697913
-0,003327517;-0,002183623;-0,007265671;-0,003913288
0,02073976;0,020058295;0,01373598;0,015106164
-0,016979022;-0,01653112;-0,012302646;-0,013746177
-0,003842453;-0,004030886;-0,004946337;-0,00502738
0,01006383;0,009999308;0,011169009;0,010529767
-0,003588827;-0,004703312;0,00170715;-0,001650964
0,014321289;0,014336808;0,021858061;0,019967205
0,032217843;0,033621266;0,03766504;0,036056743
0,023869209;0,023629528;0,026215571;0,025566132
-0,0213111;-0,020339678;-0,029773055;-0,029065939
-0,037557131;-0,038877088;-0,044226237;-0,043496331
-0,006593539;-0,007912507;-0,018322578;-0,015805099
-0,045101559;-0,047892081;-0,043708794;-0,045630325
-0,006529055;-0,008171983;-0,003847226;-0,005033374
-0,00607133;-0,006167127;-0,016327583;-0,012349106
0,050744537;0,052371526;0,055401186;0,057278398
-0,055157451;-0,054140982;-0,060051014;-0,056328667
0,043151843;0,045096083;0,057424897;0,056425128
-0,002728973;-0,002502178;-0,01055165;-0,003857838
-0,091866883;-0,103869265;-0,112190696;-0,118278756
-0,01040901;-0,009791181;-0,004531837;0,000813508
-0,006486263;-0,011258344;-0,001432777;-0,01094222
0,003283873;-0,000396137;0,003242575;0,001290572
-0,017000559;-0,016829659;-0,01093152;-0,010955845
-0,030117885;-0,029894535;-0,022007179;-0,021030004
-0,008790443;-0,013173328;0,008695781;2,65E-05
-0,014050817;-0,012362425;-0,009637592;-0,009198239
-0,107957373;-0,100206585;-0,11089025;-0,106290707
-0,080469551;-0,087439404;-0,092876363;-0,099514136
-0,108497713;-0,111950787;-0,102632146;-0,106630701
0,181494897;0,185184854;0,150668542;0,162000059
-0,038772093;-0,041664891;-0,046896002;-0,050434737
-0,015147184;-0,018088253;-0,026445964;-0,030107416
0,100979788;0,094288529;0,099297088;0,09190201
0,053356934;0,053572184;0,062485365;0,06105568
0,023750116;0,022525344;0,035184695;0,034623628
0,03750637;0,050013167;0,055062624;0,067521077
0,064078642;0,06430358;0,050541834;0,049904412
0,049398733;0,048105435;0,048444849;0,044123111
-0,058396491;-0,056870868;-0,066225305;-0,066136471
-0,01261917;-0,01061775;-0,001909985;-0,001003791
-0,035553557;-0,037862575;-0,037198986;-0,042635859
0,043283354;0,036417139;0,062642392;0,051392306
0,028529439;0,024476619;0,029867972;0,025781823
-0,010525623;-0,008421419;-0,017529833;-0,015948748
0,130656238;0,135154923;0,119518634;0,127798846
0,01646202;0,009030944;0,000828801;0,00308497
0,012049261;0,011654178;0,020298151;0,018168973
-0,001447001;-0,00034346;-0,000320756;-0,000463572
-0,013763624;-0,009367151;-0,016893049;-0,01179456
0,038748877;0,040410649;0,03823565;0,040242116
-0,007154391;-0,008218615;-0,005920286;-0,009043696
0,006485751;0,003553919;0,010614819;0,003061302
0,020195766;0,020991372;0,02715846;0,025330657
-0,016408518;-0,01940856;-0,022606892;-0,025261382
0,013758721;0,009360615;0,012084561;0,012740072
0,048463904;0,051956588;0,049171497;0,052090714
-0,02495899;-0,026685458;-0,025359167;-0,025036418
-0,009538056;-0,010605084;-0,010342243;-0,010638751
-0,010038796;-0,009814854;-0,012887617;-0,010190273
0,009265089;0,011454477;0,008291055;0,013714987
-0,003801253;-0,006235815;-0,004174197;-0,006128008
0,039536568;0,039146582;0,04155061;0,038810217
-0,013542317;-0,01768944;-0,016227442;-0,019037912
-0,021502873;-0,025514984;-0,025404097;-0,032470918
0,012227799;0,010940591;0,014472232;0,012468042
-0,039935077;-0,04032127;-0,045059006;-0,046951488
0,034818576;0,03485817;0,035299124;0,036289466
0,012363066;0,01228563;0,014144379;0,015782342
-0,051039692;-0,052953767;-0,059052963;-0,061325561
0,004445607;0,000897016;0,005627435;0,002827664
0,028838084;0,030085341;0,029557345;0,030040861
0,059680788;0,063537209;0,064941304;0,068970428
0,011658986;0,010156864;0,012694638;0,014681023
-0,014388114;-0,015301462;-0,01604251;-0,017243961
0,035378509;0,039265076;0,03501581;0,03870057
0,040576018;0,04412799;0,044424094;0,048198121
0,000903844;0,001619005;0,004230742;0,004539855
-0,087720724;-0,094495289;-0,09646315;-0,100410562
0,032266765;0,033889572;0,03545744;0,036372073
0,017276374;0,018431985;0,022388;0,024412064
0,043318224;0,04288092;0,039996229;0,043346628
-0,019961873;-0,018991376;-0,021000563;-0,02063667
0,043801751;0,051340019;0,047502191;0,05523061
0,002270413;0,007057006;0,008956097;0,010898816
-0,009670884;-0,010859882;-0,00944923;-0,00998798
0,044571763;0,050951564;0,041010442;0,046270979
0,013561441;0,015808459;0,011885638;0,014654947
0,046396276;0,050533855;0,045566425;0,047714452
0,000144114;0,005989314;-0,003731891;0,000429896
-0,06253233;-0,062031444;-0,068863357;-0,07066718
0,060523791;0,063612554;0,05030105;0,055398769
0,025051764;0,027126222;0,025786811;0,030358521
0,086051364;0,097740838;0,07994416;0,095653646
0,01899245;0,03586367;-0,00644809;0,008243837
-0,123405204;-0,139758178;-0,118204838;-0,136640095
0,055831658;0,057491345;0,032336545;0,034154666
0,057981484;0,056958318;0,054601517;0,051658625
0,040389889;0,046312107;0,043954495;0,050676842
0,045365261;0,037197641;0,054831141;0,049563294
0,036720084;0,038326439;0,040970563;0,043075159
0,026114358;0,034471672;0,020222508;0,028584059
0,020204727;0,033194474;0,017124279;0,029261675
0,10762817;0,140525281;0,074807578;0,101777364
-0,029163397;-0,047903983;-0,003605992;-0,019273785
-0,038048026;-0,059629845;-0,040622515;-0,060513088
0,012784106;0,008754862;0,002220403;-0,001564302
0,043732804;0,035350554;0,045193672;0,035943887
7,05E-05;-0,018267888;0,014081259;-0,001248184
0,018629252;0,006039771;0,030530705;0,018382632
-0,005406804;0,005533713;-0,02233589;-0,014995888
-0,011254821;-0,001166718;-0,015133974;-0,009979128
-0,052634562;-0,056661389;-0,049105414;-0,052604657
-0,054818851;-0,074800012;-0,03154445;-0,049186811
0,073490262;0,079511044;0,08665677;0,093912315
0,049931358;0,055049245;0,031017064;0,036101285
-0,037236631;-0,044284116;-0,034186784;-0,041477041
-0,032559483;-0,04542332;-0,027683664;-0,04209636
-0,043633113;-0,048292101;-0,038708013;-0,049807071
-0,020436382;-0,022627153;-0,019072015;-0,029046129
0,051018873;0,054372971;0,056117819;0,054909372
-0,028244775;-0,027277998;-0,028588176;-0,030771887
-0,010825322;-0,019947092;-0,000341019;-0,008925823
-0,011187509;-0,017821764;-0,015385946;-0,024593212
0,108057251;0,109503068;0,068609837;0,068779306
0,02873878;0,028678922;0,049563007;0,04977104
0,08987208;0,087997402;0,105337047;0,108579883
0,041895981;0,036759094;0,052106346;0,048998655
0,009600836;0,009321001;0,008013763;0,008562064
0,005264142;0,007411403;0,01650286;0,016290509
0,024375435;0,029541294;0,021524038;0,023503586
0,053989284;0,059753308;0,056428279;0,057626346
0,065755324;0,072413167;0,089167104;0,091593814
-0,007260845;-0,004378033;-0,017286701;-0,011295777
0,046559537;0,05241475;0,071921626;0,069508655
-0,035521895;-0,035618252;-0,043479167;-0,043639176
-0,008757765;-0,00574758;-0,008511407;-0,006669092
0,00576997;0,006734251;0,014122054;0,011082648
-0,01634284;-0,018571408;-0,018857968;-0,023431664
0,020566018;0,019761543;-0,003064186;0,002419802
-0,015051554;-0,014599499;-0,009826067;-0,007763107
-0,005785181;-0,004482543;0,005994139;0,003666752
-0,039151316;-0,034028003;-0,025636596;-0,027877707
0,008622592;0,008523488;-0,007049824;-0,001280074
0,011916008;0,013522815;0,013244836;0,010849803
-0,036360253;-0,039698675;-0,03850414;-0,043648909
0,052403253;0,044585066;0,050887034;0,043535689
-0,016667567;-0,019185562;-0,011622747;-0,017354021
0,096578279;0,100509525;0,099201038;0,106298614
0,014357387;0,012635992;0,020132376;0,019431626
-0,007254905;-0,008996961;-0,009069496;-0,010272186
-0,004935715;-0,009001774;-0,009586219;-0,010657226
0,027298945;0,023273843;0,028790083;0,028641092
0,060360944;0,069195318;0,073765755;0,078007142
0,027806995;0,026031121;0,0266163;0,026178946
0,024603841;0,018126512;0,032079358;0,026437036
-0,008412927;-0,005855868;-0,009660872;-0,007332511
0,071565281;0,069260906;0,070891669;0,068854339
0,025379446;0,022594722;0,026840419;0,026549549
-0,02713693;-0,025241404;-0,036944408;-0,032941723
0,002597625;0,00141753;0,002852909;0,002188169
-0,028341846;-0,030418643;-0,031627682;-0,034268517
0,040471052;0,043944888;0,046511822;0,050318783
0,072849483;0,071001994;0,078610211;0,07881517
0,054464607;0,050734353;0,062281056;0,061312066
0,010333259;0,01223815;0,005319486;0,009976138
0,091972196;0,090240541;0,093951163;0,096700424
0,065462454;0,065712004;0,051597662;0,050402903
-0,007645445;-0,011429816;-0,005502872;-0,009228445
0,065983394;0,064296298;0,067558224;0,065987223
0,043787103;0,037533318;0,038834221;0,03454118
-0,043569677;-0,048447828;-0,043929494;-0,049089227
0,050999893;0,049959135;0,064767718;0,064553267
-0,093192238;-0,092256793;-0,100658275;-0,101847324
0,067402043;0,064446389;0,064035503;0,063036516
0,019244372;0,020053097;0,027026402;0,022795066
-0,031441719;-0,032691019;-0,042840244;-0,042088576
0,134778517;0,136465359;0,147015884;0,148593278
0,027586853;0,031289869;0,018152808;0,02039296
0,024106044;0,026886867;0,034315757;0,031695619
-0,019662651;-0,016118106;-0,012551645;-0,015840039
0,014828049;0,011014564;0,012352458;0,010876004
0,057924817;0,054512584;0,057629814;0,056700528
0,050206916;0,050546362;0,047108219;0,047355147
0,03819232;0,037260683;0,041188007;0,041501039
-0,024684961;-0,025436489;-0,028811394;-0,027915519
-0,190046779;-0,204637072;-0,206532976;-0,220552134
-0,081836303;-0,080492717;-0,083559698;-0,081469101
0,060483162;0,065936319;0,073833734;0,076318839
0,057284218;0,050335343;0,051615896;0,047672307
0,042060402;0,046154504;0,046453898;0,048950499
-0,015718158;-0,014750247;-0,015755089;-0,013812052
0,010788603;0,0111558;0,017335047;0,016111416
0,004223463;0,002937859;0,006802145;0,005998665
0,029671976;0,033509621;0,035389234;0,039371471
0,008447195;0,00499441;0,004214502;0,002203776
-0,017445075;-0,019303238;-0,025194457;-0,024732137
0,049968797;0,04843177;0,045962243;0,045254518
0,054759266;0,04997796;0,050101523;0,04632576
-0,007546065;-0,009265534;-0,006087866;-0,007795623
0,023641491;0,025540851;0,021564202;0,022779283
0,065479451;0,065454965;0,066437612;0,067493047
